MES	ID	SCORE_SISTEMA	CTDMESPASIVOULT12MES	INGRESO	CLASIFRIESGO_6	ESTADOCIVIL	TIPO	DEPARTAMENTO	NUMEROHIJOS	INCUMPLIMIENTOEN12	DELTA_BANCOS
201510	24496191	358.17085658	6	3480	0	SEP	1	14	0	0	3
201510	24496547	237.48503897	12	3869.74	0	SOL	1	22	2	0	3
201510	24496587	330.0671465	12	3285.02	0	CAS	1	30	-	0	3
201510	24496693	265.08100436	12	4599.51	0	CAS	1	08	3	0	3
201510	24497245	394.32734605	12	3011.73	0	CAS	1	30	2	0	3
201510	24497324	381.07636323	12	3604.38	0	SOL	1	08	0	0	3
201510	24497457		12	4787.5	0	CON	1	04	0	0	3
201510	24497487		12	3717.42	0	SOL	1	08	0	0	3
201510	24497553	352.98637007	12	3094.28	0	CAS	1	24	1	0	3
201510	24497724		8	4300.75	0	CAS	1	30	0	0	3
201510	24497976	307.35759247	12	4229.12	0	CAS	1	30	-	0	3
201510	24498008	401.77185094	12	3411.06	0	CAS	1	26	2	0	3
201510	24498090		12	4073.12	0	SOL	1	30	0	0	3
201510	24498654	232.85389722	12	3710.45	0	SOL	1	30	0	0	3
201510	24498666	310.39718136	12	4191	1	CAS	1	22	2	0	3
201510	24498829	389.11530301	12	4794.38	0	CAS	1	36	0	0	3
201510	24498944	285.01881817	12	4064	0	SOL	1	30	3	0	3
201510	24499229	336.58291033	12	3163.75	1	SOL	1	28	0	0	3
201510	24499384	352.5560226	12	3639.21	0	CAS	1	30	-	0	3
201510	24499799	273.44177673	12	3049.88	0	CAS	1	30	1	0	3
201510	24499809	282.27956919	12	4265.31	0	SOL	1	30	0	0	3
201510	24500076	338.2721708	12	3126.23	0	CAS	1	24	0	0	3
201510	24500395	302.20263106	12	4413.25	0	CAS	1	30	1	0	3
201510	24500815	282.05422632	12	4899.93	0	SOL	1	30	0	0	3
201510	24500849	427.23475034	12	4096.8	0	CAS	1	30	2	0	3
201510	24501079	332.68183637	12	4275.57	0	SOL	1	16	-	0	3
201510	24501094	312.05783675	12	4288.21	0	SEP	1	30	1	0	3
201510	24501508	391.65585549	12	4665.1	0	SOL	1	30	0	0	3
201510	24501588	286.28126524	12	4116.47	0	SOL	1	30	0	0	3
201510	24501612	352.5355014	12	3420.17	0	SOL	1	30	0	0	3
201510	24502163	413.03275647	12	4373.64	0	SOL	1	04	0	0	3
201510	24502505	379.20567019	12	4286.53	0	SOL	1	08	0	0	3
201510	24502722	324.61623187	12	3121.73	0	CAS	1	14	4	0	3
201510	24502879	363.47960493	12	3145.42	0	SOL	1	22	0	0	3
201510	24503202	415.02640855	12	3244.01	0	CAS	1	38	5	0	3
201510	24503261	268.78082467	12	4295.95	0	SOL	1	30	-	0	3
201510	24503360	422.28935278	12	4102.93	0	SOL	1	22	0	0	3
201510	24503500	436.27215867	12	3786.51	0	CAS	1	30	3	0	3
201510	24503764	297.28932337	12	4818.79	1	SOL	1	40	2	0	3
201510	24503942	337.88628647	12	3025.49	1	SOL	1	30	0	0	3
201510	24504083	359.95170439	12	3563.1	0	SOL	1	26	0	0	3
201510	24504150	470.07340931	12	4981.54	0	CAS	1	08	2	0	3
201510	24504191	343.1756209	12	3473.17	0	VIU	1	30	0	0	3
201510	24504296	411.17194676	12	3287.5	0	CAS	1	30	0	0	3
201510	24504475	324.5988348	12	3885.72	0	SOL	1	30	0	0	3
201510	24504610	381.7678753	12	3982.94	0	SOL	1	22	0	0	3
201510	24504807	380.46760381	12	4174.76	0	CAS	1	04	0	0	3
201510	24504818	325.34408728	12	3836.74	0	CAS	1	30	1	0	3
201510	24504930	391.02332943	12	4862.67	0	SOL	1	30	-	0	3
201510	24505220	306.79611017	12	3047.62	1	SOL	1	30	0	0	3
201510	24505885	290.57800185	12	3343.01	0	CAS	1	12	4	0	3
201510	24506142	264.09863631	12	3704.5	0	SOL	1	30	-	0	3
201510	24506231	310.10434923	12	4804.27	0	SOL	1	24	1	0	3
201510	24506569	352.83035364	12	3874.14	0	SOL	1	28	0	0	3
201510	24506596	313.21998371	12	3455.38	0	SOL	1	30	0	0	3
201510	24506772		12	4816.78	0	SOL	1	16	2	1	3
201510	24506961	240.8501633	12	3533.67	0	SOL	1	30	0	0	3
201510	24507211	383.52768322	12	3371.25	0	SOL	1	04	0	0	3
201510	24507689	262.36453778	12	3999.99	0	SOL	1	30	0	0	3
201510	24507776	437.00017837	12	4498.19	0	SOL	1	46	0	0	3
201510	24507801	430.27797372	12	3756.02	0	SOL	1	36	2	0	3
201510	24508231	305.15602824	12	4151.92	1	SOL	1	24	2	0	3
